timestamp_ms,lat,lon,lidar_distance_m,battery_soc,wheel_torque_fl,wheel_torque_fr,wheel_torque_rl,wheel_torque_rr,ambient_temp_c
1735689600000,40.110600914151235,-88.2072994711689,32.512699027101384,99.87862868657594,11.550115913319384,12.38484002532561,12.391336024694295,11.09479065882675,22.230385444082838
1735689601000,40.11059779419892,-88.20729677379845,36.356918671449336,99.99251212588703,11.372798897962221,11.07993248457243,11.846245024660133,12.330427421195088,22.231033387040565
1735689602000,40.11060004555251,-88.2073011906103,34.953168228597704,99.83483575227285,12.17007843104533,11.883941445906437,12.76760537839127,12.16598524901207,22.154574572469254
1735689603000,40.110602867246655,-88.20730204650478,34.16046036203891,99.90875674936771,12.082327060331638,11.46033735049473,11.50102166005878,11.689611751131464,22.598006638814795
1735689604000,40.11059701414109,-88.2072995590449,34.704205192488295,99.96349631776826,10.895261145235958,13.439367048727847,11.167117018393133,11.429682613388037,21.87259923132798
1735689605000,40.11059310760257,-88.20729936224444,36.65569455293632,99.94037285744027,11.358458351460355,11.507535906910427,11.044845780194095,12.178628209100955,21.87900015125024
1735689606000,40.11059349112378,-88.20729496024302,36.21750542542632,100.0,12.138904833250699,11.262688758241953,12.408784658158863,11.77726026097812,21.78140969148128
1735689607000,40.110592542396,-88.20729968801308,34.94886497728475,99.89885942578532,11.977088927627037,10.62801012931481,11.665163671872985,12.408695700700175,22.867941001050735
1735689608000,40.11059249199253,-88.2073047580184,33.452193593811,99.68920081049956,11.814615039772297,11.496948729605288,11.944896623948646,11.727106225896966,22.55313824781426
1735689609000,40.11058993286075,-88.20730244895884,33.57814150391986,99.7815056307182,12.319804968900758,12.07838959707952,12.564152439823214,11.804368007836688,21.806915681417845
1735689610000,40.11059257105467,-88.2072998515372,36.33060610528648,99.97986002355984,11.297334460975781,12.562475093119392,12.183221849123871,12.573298620572896,21.598491490398576
1735689611000,40.11059490443048,-88.20730043128722,33.30454842276631,99.90978162740116,11.723240074926839,11.485649692674949,11.427675870411584,11.506895718882216,21.952663110261465
1735689612000,40.110595102522566,-88.20729923010401,35.064030127470645,99.82999723194901,12.281639447702881,12.60835867377502,7.225028252583882,11.294818051289177,22.048920683265386
1735689613000,40.11059848424619,-88.20729699448309,39.2829683252503,100.0,11.6998582699105,11.992660245723734,11.87900827982332,11.55709829334082,22.115349823658573
1735689614000,40.11059988677422,-88.2072994360727,35.97079801485605,100.0,12.182664020077102,11.783683343537778,11.994918720971656,12.147323828585101,21.489587512267132
1735689615000,40.11059730889683,-88.20730155661782,36.414925408224406,99.96598604051277,11.455160653344432,12.114694790354463,11.671863033167833,12.983929542329417,21.771377009106274
1735689616000,40.110598415149184,-88.20730098743928,33.73009163421857,99.99919278881188,11.61823554611725,12.73894627668173,11.47233797824012,12.106272189041002,22.457537008955278
1735689617000,40.11059553850138,-88.2072982751724,33.50078296545743,99.93758001837313,1.9048720444152032,12.057599116424887,12.14722495813078,11.596141164673378,22.24844042218085
1735689618000,40.11059817385228,-88.20730177304318,36.55555725395259,99.81713893031254,11.005366417471155,11.47979888937613,11.313234963930082,11.619456167762152,21.791664285022176
1735689619000,40.11059802407455,-88.20730236688608,34.958382677797196,100.0,11.797840759928357,12.24788512747502,11.994273755367537,12.241030770105125,22.376784932419486
1735689620000,40.11059746948746,-88.20730309959598,37.16242693339113,100.0,12.262710926659661,12.241769725039804,12.830398257112352,11.171097313389199,22.382347794559244
1735689621000,40.11059542669882,-88.20730184571866,35.63677607766353,99.72491616565331,11.982184087270433,11.944445495257089,12.41521349433676,11.098763662972726,22.820531864586105
1735689622000,40.11059909432284,-88.20730187181377,40.776699243136974,99.98756793985785,12.621610330907018,12.552240124501566,12.142958649140862,12.139609271918141,21.968622323857108
1735689623000,40.110598630734394,-88.20730350946452,34.75375139197643,99.99901572665526,11.846952559444302,10.89877978480143,11.494199919180165,12.485708684435588,21.81039816140087
1735689624000,40.11059734575093,-88.20729976376718,36.0660015385783,99.91818793210524,10.985167036296517,12.223773137592536,12.014884194193126,12.500177036121999,21.996151984284943
1735689625000,40.110596289350276,-88.20730138153962,34.311155833655526,100.0,12.21921800742465,12.439295242463624,11.649090797241822,12.2202487002146,22.374433553101024
